Community,Person ID,Person Name,Private?,Deleted?,Friends Count,Friends_IDS,Delta Friends,Followers Count,Statuses Count,# Tweets,Delta Tweets,# Retweets stored in DB,# Retweets reported by Twitter,Delta Retweets
java,12983,Stephan007,false,false,117,117,0,1946,745,2608,-1863,52236,2755.0,49481.0
java,12982,lescastcodeurs,false,false,9,9,0,1416,425,428,-3,959,915.0,44.0
java,12984,alblue,false,false,184,184,0,923,9531,3215,-15,239855,706.0,239149.0
java,12985,javarebel,false,false,16,16,0,2779,915,961,-46,28841,587.0,28254.0
java,12986,codemonkeyism,false,false,335,335,0,3419,15816,4449,-1249,820541,618.0,819923.0
java,12987,PaulSandoz,false,false,75,75,0,449,851,873,-22,2249,314.0,1935.0
java,12988,jessewilson,false,false,101,101,0,687,505,504,1,2106,118.0,1988.0
java,12989,tornorbye,false,false,92,92,0,2798,179,176,3,2933,871.0,2062.0
java,12990,vmassol,false,false,72,72,0,857,1371,1389,-18,5313,306.0,5007.0
java,12991,mariofusco,false,false,158,158,0,2406,2493,2563,-70,18625,8667.0,9958.0
java,12992,JAXenter,false,false,197,197,0,674,3256,3220,-20,1727,1347.0,380.0
java,12993,joshmarinacci,false,false,182,182,0,1771,3235,3228,-28,20711,1231.0,19480.0
java,12994,app_engine,false,false,18,18,0,54275,505,506,-1,5375,3986.0,1389.0
java,12997,ZenikaIT,false,false,1445,1445,0,1158,739,743,-4,1736,606.0,1130.0
java,12996,XebiaFr,false,false,85,85,0,1162,1066,1124,-58,3195,1603.0,1592.0
java,12998,joeracer,false,false,71,71,0,1755,4612,3205,-5,800624,480.0,800144.0
java,12999,njbartlett,false,false,597,597,0,2229,6198,3230,-30,4353,1367.0,2986.0
java,13000,ekabanov,false,false,174,174,0,1148,4146,3229,-29,108028,1076.0,106952.0
java,13001,dzonejames,false,false,648,648,0,1189,1037,1051,-14,19498,145.0,19353.0
java,13002,Hibernate__,false,false,0,0,0,1656,65,65,0,62,56.0,6.0
java,13003,OlivierCroisier,false,false,117,117,0,726,3339,3234,-34,48041,1769.0,46272.0
java,13004,kevinb9n,false,false,95,95,0,709,618,617,1,3117,64.0,3053.0
java,13005,parisjug,false,false,25,25,0,1544,506,507,-1,1083,782.0,301.0
java,13006,mfiguiere,false,false,140,140,0,753,562,575,-13,7881,829.0,7052.0
java,13007,duchessfr,false,false,382,382,0,824,655,681,-26,2558,1193.0,1365.0
java,13008,GeertjanW,false,false,850,850,0,1758,1682,1693,-11,67933,986.0,66947.0
java,13010,myfear,false,false,415,415,0,1455,15350,3215,-15,102309,1260.0,101049.0
java,13009,SpringRoo,false,false,4,4,0,3616,58,59,-1,747,633.0,114.0
java,13011,jbossseam,false,false,23,23,0,1577,160,156,4,347,82.0,265.0
java,13012,JonathanGiles,false,false,60,60,0,1011,6069,3200,0,4062,959.0,3103.0
java,13013,mojavelinux,false,false,283,283,0,1969,10007,3241,-41,51172,1384.0,49788.0
java,13014,habuma,false,false,106,106,0,1187,3009,3076,-67,73734,397.0,73337.0
java,13015,costinl,false,false,58,58,0,991,818,863,-45,10963,438.0,10525.0
java,13018,JavaSpotlight,false,false,150,150,0,850,88,91,-3,341,318.0,23.0
java,13016,jfarcand,false,false,126,126,0,958,2534,2605,-71,43621,1638.0,41983.0
java,13017,benjmestrallet,false,false,176,176,0,792,3055,3090,-35,31481,580.0,30901.0
java,13019,OracleDevTools,false,false,246,246,0,2103,1181,1202,-21,5124,369.0,4755.0
java,13020,burke_eric,false,false,541,541,0,2113,7230,3214,-14,29967,739.0,29228.0
java,13021,java7developer,false,false,93,93,0,1312,619,625,-6,3503,488.0,3015.0
java,13022,juliendubois,false,false,155,155,0,799,1169,1319,-150,9259,1022.0,8237.0
java,13024,crichardson,false,false,234,234,0,984,1224,1329,-105,17279,200.0,17079.0
java,13023,netty_project,false,false,0,0,0,1248,211,217,-6,871,370.0,501.0
java,13026,sam_brannen,false,false,226,226,0,392,507,521,-14,40027,160.0,39867.0
java,39159,loic_d,false,false,151,151,0,776,8742,3195,5,138870,489.0,138381.0
java,39185,stringbuffer,false,false,1927,1927,0,784,42,42,0,1,1.0,0.0
java,39162,Eclipse_Tips,false,false,0,0,0,1177,81,80,1,50,43.0,7.0
java,39165,benalexau,false,false,52,52,0,2081,565,564,1,538,474.0,64.0
java,39659,peter_pilgrim,false,false,107,107,0,541,3468,3214,-14,2883,292.0,2591.0
java,39658,antoine_sd,false,false,567,567,0,864,5334,3218,-18,54061,1514.0,52547.0
liberal,7770,maddow,false,false,923,923,0,2061425,1465,1484,-19,194688,51634.0,143054.0
liberal,7787,KeithOlbermann,false,false,511,511,0,372857,23570,5361,-2161,247024,70390.0,176634.0
liberal,7834,MMFlint,false,false,154,154,0,994309,3778,3703,-503,769719,191774.0,577945.0
liberal,7826,markos,false,false,464,464,0,59825,23988,3200,0,67890,41663.0,26227.0
liberal,7824,billmaher,false,false,28,28,0,1061872,1083,1100,-17,463497,51792.0,411705.0
liberal,7794,dailykos,false,false,26,26,0,88328,22363,4303,-1103,41027,36409.0,4618.0
liberal,24379,jilevin,false,false,165958,173770,-7812,172260,108062,3211,-11,38968,3327.0,35641.0
liberal,7802,thenation,false,false,1320,1320,0,161011,15499,5575,-2375,93898,62018.0,31880.0
liberal,24288,Shoq,false,false,3638,3638,0,15034,213936,3232,-32,9839,4547.0,5292.0
liberal,19739,MotherJones,false,false,863,863,0,111467,39227,6226,-3026,112089,74941.0,37148.0
liberal,24360,GottaLaff,false,false,13278,14120,-842,20175,273364,3235,-35,11155,4308.0,6847.0
liberal,19744,StopBeck,false,false,9650,9650,0,26934,42958,3835,-635,48562,17893.0,30669.0
liberal,7800,NYTimeskrugman,false,false,129,129,0,726561,3339,3374,-174,147583,113312.0,34271.0
liberal,36088,AlanColmes,false,false,255,255,0,24666,13606,3204,-4,13798,10370.0,3428.0
liberal,7843,thinkprogress,false,false,806,806,0,110671,16709,3200,0,327633,182563.0,145070.0
liberal,7793,ariannahuff,false,false,1589,1589,0,865419,6639,3200,0,182288,58438.0,123850.0
liberal,24286,JeffreyFeldman,false,false,40544,48269,-7725,41437,10452,3206,-6,24774,21675.0,3099.0
liberal,20821,WeGotEd,false,false,270,270,0,47172,5611,1748,1452,8368,4741.0,3627.0
liberal,24363,EileenLeft,false,false,4752,4752,0,7168,130667,3236,-36,29812,3786.0,26026.0
liberal,36086,juanrallo,false,false,70,70,0,6579,2868,3217,-349,10840,9757.0,1083.0
liberal,19742,ggreenwald,false,false,487,487,0,77333,16456,4876,-1676,117711,67318.0,50393.0
liberal,24378,OTOOLEFAN,false,false,6693,6693,0,14837,88266,3201,-1,35256,6374.0,28882.0
liberal,24359,janinewallace,false,false,1970,1970,0,2138,12949,3233,-33,8774,782.0,7992.0
liberal,19748,mmfa,false,false,2088,2088,0,57164,13971,3970,-770,76822,59722.0,17100.0
liberal,20942,chrislhayes,false,false,437,437,0,81471,18583,3224,-24,121621,17072.0,104549.0
liberal,7858,alfranken,false,false,15879,19674,-3795,78504,1088,1109,-21,28307,19845.0,8462.0
liberal,17673,AlterNet,false,false,17799,17660,139,43715,14345,3803,-603,47438,36680.0,10758.0
liberal,36090,redliberal,false,false,164,164,0,2017,12235,3227,-27,1272,717.0,555.0
liberal,24404,buzzflash,false,false,26245,27979,-1734,26403,20865,3201,-1,13236,11623.0,1613.0
liberal,35545,AlanGrayson,false,false,6,6,0,25933,353,380,-27,9959,8296.0,1663.0
liberal,24416,LiberallyLiving,false,false,11372,11682,-310,11738,14608,3215,-15,33199,805.0,32394.0
liberal,36099,truthout,false,false,39619,46266,-6647,42891,10796,3238,-38,43399,39026.0,4373.0
liberal,36087,joanwalsh,false,false,1345,1345,0,43734,14273,3205,-5,97328,6160.0,91168.0
liberal,24299,partidolibertad,false,false,4651,4651,0,5032,4841,3222,-22,9848,8630.0,1218.0
liberal,1660,RyanNewYork,false,false,35770,38444,-2674,35866,21651,4494,-1294,34433,8560.0,25873.0
liberal,36095,KatrinaNation,false,false,1951,1952,-1,42484,28474,3581,-381,76687,16129.0,60558.0
liberal,7808,ezraklein,false,false,574,574,0,139436,11961,4495,-1295,237425,77456.0,159969.0
liberal,36096,DustyTrice,false,false,35383,34241,1142,49164,33819,3199,1,24122,3828.0,20294.0
liberal,36093,M_Ignatieff,false,false,9449,9449,0,91055,529,531,-2,15436,9911.0,5525.0
liberal,20826,Karoli,false,false,3464,3464,0,12953,193410,3208,-8,23078,4309.0,18769.0
liberal,36091,BoldProgressive,false,false,3572,3572,0,18693,1603,1799,-196,13432,9691.0,3741.0
liberal,36092,crooksandliars,false,false,442,442,0,20692,27756,3202,-2,10497,7118.0,3379.0
liberal,17682,amprog,false,false,153,153,0,18011,1953,3128,-1175,14004,10934.0,3070.0
liberal,24361,TheNewDeal,false,false,16379,18280,-1901,22010,40298,3229,-29,141504,56860.0,84644.0
liberal,24395,southerntalker,false,false,5325,5325,0,6597,121011,3198,2,5648,5183.0,465.0
liberal,36094,jorgevalin,false,false,197,197,0,1777,14180,3206,-6,31230,3834.0,27396.0
