Name: dance, Members:50, :Places:0,11,15,16,18,19,21,23,24,26,30,32,34,35,36,37,38,39,40,41,42,44,45,48,50,51,53,54,55,58,61,62,65,67,68,70,71,72,76,78,79,80,81,83,85,91,92,93,95,98,100
Name: innovation, Members:32, :Places:0,2,4,6,7,12,18,23,24,26,31,33,34,35,38,39,40,44,45,47,48,49,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100
Name: advertising, Members:90, :Places:0,33,37,45,55,76,83,86,89,90,100
Name: exercise, Members:98, :Places:0,76,100
Name: legal, Members:71, :Places:0,7,8,24,33,34,36,38,41,42,43,45,46,52,55,63,64,65,69,71,75,76,78,80,81,85,88,89,92,100
Name: military, Members:98, :Places:0,88,100
Name: motorcycle, Members:99, :Places:0,100
Name: realestate, Members:97, :Places:0,52,66,100
Name: , Members:3071, :Places:0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Name: radio, Members:97, :Places:0,74,90,100
Name: hospitality, Members:93, :Places:0,17,33,44,52,64,95,100
Name: actor, Members:82, :Places:0,18,25,28,34,36,39,51,63,65,72,75,78,84,86,93,98,99,100
Name: insurance, Members:98, :Places:0,57,100
Name: neuroscience, Members:98, :Places:0,49,100
Name: skateboarding, Members:96, :Places:0,33,61,91,100
Name: comedy, Members:88, :Places:0,22,36,59,63,64,79,81,83,86,90,95,100
Name: dating, Members:98, :Places:0,98,100
Name: construction, Members:92, :Places:0,16,19,27,60,86,88,95,100
Name: reporter, Members:80, :Places:0,19,21,24,38,39,40,48,49,50,57,58,67,68,69,74,87,93,96,99,100
Name: handmade, Members:69, :Places:0,8,10,14,16,19,28,29,32,34,43,48,51,59,60,61,64,65,67,70,71,72,77,78,79,82,84,85,91,95,99,100
Name: trading, Members:87, :Places:0,18,31,34,42,43,45,54,61,62,71,72,79,100
Name: sailing, Members:97, :Places:0,29,32,100
Name: vegetarian, Members:98, :Places:0,79,100
Name: poker, Members:95, :Places:0,86,92,96,97,100
Name: recipes, Members:81, :Places:0,4,5,11,12,13,33,35,36,38,52,54,58,64,66,80,85,89,91,100
Name: lawyer, Members:85, :Places:0,16,35,42,48,53,57,68,78,80,85,95,96,97,98,100
Name: chef, Members:86, :Places:0,16,18,34,37,45,49,51,58,59,75,78,91,95,100
Name: linux, Members:85, :Places:0,1,65,68,70,73,79,80,83,86,87,90,92,93,95,100
Name: flash, Members:98, :Places:0,70,100
Name: nursing, Members:98, :Places:0,65,100
Name: aviation, Members:89, :Places:0,15,40,48,49,54,59,64,66,80,85,100
Name: architecture, Members:66, :Places:0,21,25,29,30,34,35,39,41,42,43,45,46,54,57,58,61,62,63,68,72,74,77,79,83,84,85,86,87,89,90,91,92,94,100
Name: anthropology, Members:95, :Places:0,57,64,77,80,100
Name: religion, Members:93, :Places:0,15,28,56,63,71,93,100
Name: engineering, Members:91, :Places:0,19,23,40,45,61,63,81,90,100
Name: climatechange, Members:93, :Places:0,2,16,43,58,65,85,100
Name: history, Members:75, :Places:0,24,31,41,46,50,53,58,59,66,67,75,76,77,78,80,84,87,88,89,91,92,95,96,98,100
Name: philanthropy, Members:72, :Places:0,11,19,27,30,37,42,45,46,48,50,54,56,57,58,60,63,71,73,75,76,82,85,86,90,91,95,96,100
Name: etsy, Members:66, :Places:0,1,8,15,21,26,27,31,33,34,36,42,43,45,47,54,56,59,60,61,63,69,70,72,74,75,76,77,82,84,89,95,97,99,100
Name: publishing, Members:78, :Places:0,32,48,52,57,59,61,64,65,66,68,69,71,72,81,86,87,91,92,95,96,99,100
Name: toys, Members:99, :Places:0,100
Name: surfing, Members:98, :Places:0,49,100
Name: genealogy, Members:98, :Places:0,80,100
Name: jewish, Members:99, :Places:0,100
Name: python, Members:99, :Places:0,100
Name: beer, Members:71, :Places:0,51,56,57,58,60,64,65,66,68,69,71,72,73,74,76,77,79,80,82,83,84,85,86,90,92,94,97,98,100
Name: cycling, Members:82, :Places:0,66,74,75,79,80,82,84,85,86,87,88,89,90,94,95,96,97,100
Name: marketing, Members:79, :Places:0,4,6,12,19,20,23,37,42,54,57,58,61,63,66,70,75,79,83,96,98,100
Name: peace, Members:96, :Places:0,73,88,98,100
Name: gardening, Members:65, :Places:0,16,30,35,37,39,44,48,49,52,53,54,57,58,59,62,67,71,72,75,77,78,80,81,82,83,85,89,90,91,92,94,96,97,99,100
