Person ID,Person Name,Private?,Statuses Count,Number of Tweets,Number of Retweets,Retweet Count,Friends Count,Friends_IDS,Followers Count
1767,TheWomensMuseum,false,7368,3192,149256,237961,39443,0,41392
1658,TwtsFromHistory,false,34592,3199,150499,239369,42589,0,43674
1769,historicalwomen,false,139,138,150522,239433,90,90,1908
1765,lexhistory,false,2773,2770,150790,240177,1940,1940,2654
1768,tannerritchie,false,2339,2352,151415,241352,1690,1690,1525
1772,Wendell_Howe,false,15859,3200,151902,241894,10792,0,10863
1770,EMhistblog,false,2583,2587,152828,302273,2170,2170,2528
1662,TweetsofOld,false,8253,3194,216423,388439,1137,1137,40484
1773,thehistoryguy,false,3466,3199,224533,420289,239,239,25255
1776,librarycongress,false,1894,1910,237139,442658,6,6,345624
1774,katrinagulliver,false,19776,3194,237491,456588,890,890,2132
1777,dayinhistory,false,1373,1367,238263,458139,8,8,4934
1771,archaeologynews,false,24843,3200,242262,462446,3055,3055,10929
1780,TheHistoryWoman,false,5481,3197,243463,470618,449,449,3207
1775,WWarII,false,3080,3078,244945,472851,3746,3746,5735
1781,historicaltweet,false,549,549,245194,473215,62,62,7743
1779,VHStudio,false,626,628,245292,473653,2679,2679,3179
1778,HistoryCompass,false,605,603,245441,473818,1857,1856,2870
1785,HISTORYmag,false,3882,3196,257977,497815,21224,0,20126
1782,HistoricTwits,false,347,349,258008,498371,667,667,1050
1783,mohistorymuseum,false,1606,1610,258432,499024,310,310,4155
1784,Daily_History,false,123,122,258435,499028,127,127,976
1695,WorldHistory101,false,8352,3193,262909,512095,4332,4332,9073
1787,GLIAmericanHist,false,1071,1073,263535,512892,192,192,1494
1786,adrianmurdoch,false,5617,3194,265685,535593,1153,1153,2235
1789,ushistorysite,false,981,994,265838,537145,306,306,2650
1742,mnhs,false,2590,2583,266865,538722,600,600,5042
1790,histdetectives,false,558,553,267370,539364,52,52,4182
1788,EnglishHeritage,false,2290,2321,274400,548161,519,519,31466
1697,brooklynhistory,false,3081,3089,275733,552942,1421,1421,8759
1722,NS_Archives,false,6660,3193,278305,558626,4003,4003,6308
1791,hist_enthusiast,false,773,768,278314,562500,213,213,942
1712,fordstheatre,false,1369,1377,278864,563646,1076,1076,5944
1794,AntiquiTweet,false,857,855,280356,566990,256,256,5275
1793,MisterHistory,false,2823,2819,280474,567328,2018,2018,2624
1795,archaeologymag,false,978,980,281938,569074,309,309,10093
1796,besthistoryweb,false,337,333,282036,569187,201,201,2082
1798,LookBackMaps,false,2196,2191,282395,569562,934,934,1309
1797,archeology101,false,4382,3199,282627,569839,1846,1846,2758
1800,clioweb,false,6195,3200,282816,576291,825,825,1733
1799,AncientDigger,false,9748,3199,283375,584757,1644,1644,2314
1802,RagLinen,false,1394,1398,284225,586796,2157,2157,2528
1792,worldhistory,false,742,740,284250,586913,9430,9430,8591
1803,myHNN,false,11389,3200,284833,587695,467,467,1570
1805,AHAhistorians,false,820,828,286364,589429,0,0,3354
1801,cambUP_History,false,428,446,286853,590024,4767,4767,4660
1804,PatriotCast,false,1515,1515,287865,591210,1781,1781,2827
1807,britishlibrary,false,2065,2070,299290,606100,99,99,266214
1688,tenementmuseum,false,1114,1122,300006,607364,7234,7234,8708
1666,wceberly,false,5942,3200,302252,610041,20922,0,19079
1806,historycarnival,false,592,595,302700,610522,572,572,2117
1810,SmithsonianMag,false,3742,3198,312941,647908,415,415,26872
1809,explorehistory,false,1412,1422,314067,649369,571,571,4605
1811,TimeMaps,false,660,660,314157,649733,813,813,857
1808,HistoryDaily,false,699,699,314345,649943,1919,1919,1768
1813,newsinhistory,false,1094,1100,314489,650093,81,81,420
1814,historying,false,824,824,314613,650294,250,250,896
1812,mercpol,false,1681,846,314798,681177,545,545,618
1815,connecthistory,false,75,74,314873,681340,78,78,1423
1816,samuelpepys,false,4101,3200,336125,705088,14,14,26775
1817,CanadasHistory,false,3238,3200,337817,707043,330,330,2586
1672,JustinPollard,false,5591,3200,339073,710577,8373,8373,11540
1819,Ben_Cowell,false,1572,1592,339717,714284,1602,1602,3267
1823,MissedinHistory,false,1235,1247,340896,718633,164,164,11131
1822,lucyinglis,false,41165,3170,341286,722016,515,515,4400
1820,kyhistory,false,3177,3187,341771,1007395,2236,2236,2372
1821,Presidentfacts,false,313,313,341844,1007521,1943,1943,1910
1825,smithsonian,false,5657,3198,370736,1048227,133,133,625693
1818,I_W_M,false,3650,3200,377784,1056093,7398,7398,15836
1824,historywebuk,false,180,180,377784,1056096,761,761,1669
1874,europeanhistory,false,2933,2965,384778,1066281,7,7,4225
1829,REI,false,5631,3200,11216,17700,1471,1471,118585
1828,adventurevida,false,4273,3200,18967,26143,47522,0,48024
1865,campingblogger,false,7920,3199,20040,27617,6758,6758,7685
1826,thenorthface,false,3186,3200,25661,35978,849,849,64221
1922,BackpackerMag,false,2055,2059,27565,38090,1139,1139,18596
1851,TheGearJunkie,false,4322,3199,29556,40742,7172,7172,12478
1923,outsidemagazine,false,5474,3199,40254,63068,215,215,38127
1924,patagonia,false,2673,2681,45067,70276,2022,2022,51970
1841,ChildrenNature,false,8106,3195,48227,79554,20367,0,19718
1827,CampsterGuy,false,1356,1355,48296,79716,52366,0,49234
1880,TrekLightGear,false,6238,3199,48914,97084,966,966,5774
1832,RDavidian,false,8214,3200,50130,98399,20385,0,18639
1927,backpacknews,false,2896,2894,50595,98879,35054,0,34352
1926,NatlParkService,false,1477,1481,56114,106141,300,300,33551
1849,MyNatureApps,false,18129,3200,56673,106886,10705,0,11844
1928,backcountrycom,false,6831,3189,59470,112778,217,217,16089
1917,Cheecker,false,3205,3196,61396,115297,2624,2624,3739
1853,KEEN,false,7865,3185,63006,127095,369,369,25276
1830,BullsandBeavers,false,21566,3198,64127,128332,26273,0,25332
1886,trimbleoutdoors,false,2227,2226,64314,128625,3810,3810,4947
1836,gothunts,false,12499,3184,65209,132430,16549,0,15209
1930,thehikingcenter,false,22130,3199,65950,133231,17722,0,17538
1931,NPCA,false,5983,3195,75700,151036,36197,0,32948
1929,ParksTraveler,false,11581,3200,78219,153759,1157,1157,5768
1893,thehunterswife,false,9813,3198,78620,158013,3451,3451,4304
1903,OutdoorStream,false,116,116,78623,158016,3030,3030,3174
1870,SherryinAL,false,10820,3194,78950,203010,5621,5621,6035
1932,nature_org,false,8956,3200,104311,231782,33475,0,104842
1925,GoParks,false,5049,3166,108803,242025,8956,8956,19045
1845,OUTDChannel,false,5006,3184,110552,252075,5541,5541,34102
1935,NWF,false,10782,3200,144477,290175,29212,0,80685
1934,leavenotrace,false,1801,1801,145572,291470,12179,0,14293
1869,HikingTwits,false,925,924,145581,295070,6120,6120,5493
1937,NatGeo,false,8729,3245,349761,706363,22872,0,1527573
1942,NatureRocks,false,1675,1681,352380,709958,20404,0,176222
1933,hardwear,false,508,516,352912,712134,2186,2186,13721
1939,merrelloutside,false,4785,3198,356198,715813,399,399,12535
1938,OspreyPacks,false,2371,2395,357260,717263,1031,1031,7764
1940,dailyhiker,false,1674,1667,357744,718628,514,514,2867
1941,ORGEAR,false,1917,1913,358193,719723,969,969,7363
1947,AdventureLive,false,12884,3200,358428,719980,36509,0,36784
1936,usparkscom,false,5478,3198,359018,727627,5258,5258,5479
1839,VAStateParks,false,28334,3200,360014,728656,14016,0,14148
1946,backpacking,false,1148,1146,360435,729148,47,47,6303
1848,PheasantPhun,false,30570,3184,360607,731999,8271,8271,8788
1944,stephanieapears,false,925,935,360824,733464,2637,2637,3667
1943,GoExploreNature,false,5814,3200,361857,734717,1464,1464,2794
1949,Sierra_Magazine,false,5508,3199,367170,757512,17807,0,36032
1850,WalkingAwake,false,11924,3199,367773,762041,11488,0,11594
1898,HuntingLife,false,5372,3196,368658,778593,6293,6293,5852
1919,tracksandtrails,false,1520,1520,368711,778677,2758,2758,2914
1948,OutdoorGearTV,false,4474,3199,369053,779187,2149,2149,3069
1945,HikingLady,false,1840,1843,369679,779966,5156,5156,6655
1950,Sierra_Club,false,9091,3199,379394,795933,3574,3574,35099
1953,modernhiker,false,1480,1487,379686,796437,108,108,2445
1954,Arcteryx,false,1664,1697,380742,797785,186,186,12281
