Name,FF_Nodes,FF_betweeness,FF_closeness,FF_degree,FF_eigenvector,FF_c_size,FF_c_density,FF_c_hierarchy,FF_c_index
"""baseball""",115,0.00154095216982,0.691542288557,1.45323741007,0.0232393010959,0.126321298649,0.0578437190668,0.0160248094235,0.200189827139
"""astrology""",98,0.00205021545378,0.794285714286,1.61870503597,0.0442355359662,0.0344655114258,0.049370594747,0.0208302551434,0.104666361316
"""beer""",21,0.000342824388243,0.665071770335,0.877697841727,0.0343899061085,0.616503956092,0.0320758573905,0.020290457012,0.668870270495
"""climatechange""",23,0.000217985928919,0.70202020202,0.877697841727,0.0271369701764,0.169079663601,0.085857226098,0.0255373066685,0.280474196367
"""food""",799,0.00587967638261,1.0,2.0,0.395631896446,0.0266512699562,0.0342177292806,0.0163469369301,0.077215936167
"""buddhism""",124,0.00227149995172,0.863354037267,1.6690647482,0.0689165000049,0.0599023646093,0.0511851159053,0.0232688946342,0.134356375149
"""gaming""",96,0.00136167628682,0.698492462312,1.48920863309,0.0167807592411,0.0719309253454,0.0529397326461,0.0172296752922,0.142100333284
"""exercise""",81,0.0022989816297,0.896774193548,1.62589928058,0.0484021754068,0.0460354048589,0.0504028323676,0.0199345305455,0.116372767772
"""advertising""",110,0.0037622144092,0.902597402597,1.86330935252,0.0766627234307,0.0464892608554,0.057130155818,0.0223762058522,0.125995622526
"""skateboarding""",129,0.00091138576919,0.731578947368,1.29496402878,0.0189238686773,0.0866217457127,0.0438991080199,0.0171175059281,0.147638359661
"""banking""",55,0.000523411500899,0.720207253886,1.02158273381,0.0304180543953,0.171220479046,0.0665557387083,0.0255317473443,0.263307965098
"""history""",91,0.00293006898224,0.891025641026,1.76978417266,0.0579235266917,0.0828263794551,0.0418580706712,0.0219654275575,0.146649877684
"""career""",137,0.00431316955372,0.945578231293,1.88489208633,0.137834409986,0.0661313942517,0.0605123237103,0.0216172065215,0.148260924483
"""storage""",98,0.00118251893662,0.832335329341,1.37410071942,0.0544111687851,0.305804100082,0.0760378915225,0.0170300124479,0.398872004052
"""java""",100,0.000254056893477,0.643518518519,0.805755395683,0.0159022738276,0.168464481297,0.138865686627,0.0351689884177,0.342499156343
"""football""",215,0.00187431653352,0.763736263736,1.6618705036,0.0305176338889,0.0536596494999,0.0386077537991,0.016434211572,0.108701614871
"""engineering""",78,0.000699605688275,0.794285714286,1.1726618705,0.0474887038204,0.0892380368055,0.0693994186561,0.0231533515523,0.181790807014
"""physics""",71,0.000679223894151,0.705583756345,1.12230215827,0.0217796794234,0.150195773079,0.065265661469,0.0229771735702,0.238438608118
"""publishing""",150,0.00436066447383,0.945578231293,1.91366906475,0.127723942831,0.0525396598883,0.0473573893087,0.0198698413822,0.119766890579
"""hunting""",102,0.00122994958332,0.812865497076,1.40287769784,0.0426797282793,0.114163064472,0.0539425977999,0.0218677100972,0.189973372369
"""marriage""",84,0.00139105860006,0.794285714286,1.4964028777,0.0343657715945,0.185455471628,0.0365354705443,0.0233444572844,0.245335399456
"""multimedia""",35,0.000328744907222,0.655660377358,0.834532374101,0.0272701487409,0.268121126929,0.0584429667238,0.0179781504266,0.344542244079
"""guitar""",86,0.00126378142661,0.808139534884,1.51079136691,0.0300221192397,0.0757775740733,0.0474636807509,0.0193495593091,0.142590814133
"""vegetarian""",51,0.000917216101584,0.772222222222,1.35971223022,0.0570777133272,0.208162182208,0.0673669449415,0.0206792117042,0.296208338853
"""finance""",97,0.00352011955061,0.896774193548,1.8345323741,0.0697834147731,0.060009875025,0.0589382559964,0.0239007889009,0.142848919922
"""sociology""",108,0.00119818429561,0.812865497076,1.3381294964,0.0719160769242,0.0824719879691,0.0699140273535,0.02327958194,0.175665597263
"""ipad""",43,0.000376341428173,0.723958333333,0.94964028777,0.0174208004567,0.148263761541,0.0873293713219,0.0215095183627,0.257102651225
"""actor""",78,0.00164353057103,0.684729064039,1.53956834532,0.0258447810343,0.0279494467048,0.0363031184068,0.013751998431,0.0780045635426
"""golf""",102,0.00125826336448,0.723958333333,1.48201438849,0.0172802510631,0.035493889694,0.0407254436058,0.0188659402424,0.0950852735422
"""charity""",61,0.00359287710343,0.902597402597,1.84172661871,0.0862419350533,0.0505032818769,0.0638876051472,0.0266208709634,0.141011757987
"""healthcare""",238,0.00482245096935,0.978873239437,1.92805755396,0.209835717206,0.0593877131184,0.0441144471324,0.0177343700096,0.12123653026
"""architecture""",110,0.00348160012455,0.926666666667,1.81294964029,0.0992479448604,0.0695453107827,0.0572011742643,0.0237399009911,0.150486386038
"""agriculture""",22,0.000516243656556,0.727748691099,1.06474820144,0.0566465486522,0.452817984394,0.0529748954408,0.021727340902,0.527520220737
"""animation""",101,0.00188374034169,0.812865497076,1.54676258993,0.0328700606309,0.0656931927945,0.0613412886809,0.0210171105633,0.148051592039
"""mac""",59,0.0013607892499,0.767955801105,1.31654676259,0.0262178433534,0.18908921423,0.089401247485,0.0198632347698,0.298353696485
"""peace""",103,0.00119957038183,0.822485207101,1.43165467626,0.0932700995596,0.138459469307,0.0791547493459,0.0246980993784,0.242312318031
"""youtube""",92,0.00131541916059,0.739361702128,1.51079136691,0.0266098475996,0.0825246474315,0.0542426399471,0.0178162897737,0.154583577152
