id,at_out_rt_in R^2,p,at_in_rt_in R^2,p,at_clos_rt_in R^2,p,at_pag_rt_in R^2,p,ff_out_rt_in R^2,p,ff_in_rt_in R^2,p,ff_clos_rt_in R^2,p,ff_pag_rt_in R^2,p
265,0.473,0.000,0.523,0.000,0.357,0.000,0.219,0.035,0.128,0.208,0.571,0.000,0.038,0.710,0.455,0.000
271,0.611,0.000,0.780,0.000,0.370,0.000,0.342,0.000,0.469,0.000,0.793,0.000,0.336,0.000,0.777,0.000
275,0.590,0.000,0.552,0.000,0.408,0.000,0.294,0.002,0.272,0.004,0.468,0.000,0.238,0.011,0.482,0.000
279,0.480,0.000,0.660,0.000,0.345,0.000,0.157,0.106,0.303,0.001,0.568,0.000,0.324,0.001,0.497,0.000
281,0.451,0.000,0.646,0.000,0.292,0.001,0.249,0.003,0.211,0.013,0.606,0.000,0.118,0.165,0.597,0.000
285,0.350,0.000,0.632,0.000,0.204,0.026,0.207,0.024,0.123,0.180,0.710,0.000,0.035,0.702,0.675,0.000
291,0.468,0.000,0.664,0.000,0.459,0.000,0.259,0.007,0.222,0.022,0.667,0.000,0.155,0.112,0.702,0.000
293,0.380,0.000,0.634,0.000,0.268,0.003,0.244,0.008,0.288,0.001,0.775,0.000,0.114,0.209,0.797,0.000
297,0.450,0.000,0.568,0.000,0.421,0.000,0.119,0.275,0.090,0.376,0.645,0.000,0.200,0.048,0.522,0.000
303,0.438,0.000,0.717,0.000,0.329,0.000,0.626,0.000,-0.043,0.654,0.372,0.000,-0.004,0.963,0.606,0.000
305,0.212,0.019,0.613,0.000,0.254,0.005,0.288,0.001,0.066,0.473,0.591,0.000,-0.018,0.843,0.717,0.000
307,0.071,0.476,0.649,0.000,0.146,0.142,0.467,0.000,-0.056,0.571,0.740,0.000,-0.018,0.855,0.679,0.000
311,0.578,0.000,0.684,0.000,0.356,0.000,0.079,0.409,0.326,0.000,0.595,0.000,0.199,0.036,0.538,0.000
315,0.388,0.000,0.787,0.000,0.214,0.026,0.440,0.000,0.238,0.013,0.772,0.000,0.209,0.029,0.807,0.000
