Interest ;Deutschland;Schweiz;Addidas;Loewe;Hagebau;Deutschland;Schweiz;Addidas;Loewe;Hagebau
lawyer_legal;2;#NV;26;10;#NV;0.004474273;#NV;0.04107425;0.015797788;#NV
poetry;2;1;24;9;1;0.004474273;0.011764706;0.037914692;0.014218009;0.005102041
college;2;#NV;29;9;5;0.004474273;#NV;0.045813586;0.014218009;0.025510204
genealogy;2;#NV;5;6;4;0.004474273;#NV;0.007898894;0.009478673;0.020408163
anthropology;2;#NV;14;5;1;0.004474273;#NV;0.022116904;0.007898894;0.005102041
linguistics;2;#NV;6;3;1;0.004474273;#NV;0.009478673;0.004739336;0.005102041
nursing;1;#NV;5;#NV;#NV;0.002237136;#NV;0.007898894;#NV;#NV
surfing;1;3;75;86;#NV;0.002237136;0.035294118;0.118483412;0.135860979;#NV
wedding;1;#NV;8;50;4;0.002237136;#NV;0.012638231;0.078988942;0.020408163
outdoors_hiking;1;#NV;203;20;2;0.002237136;#NV;0.320695103;0.031595577;0.010204082
java;1;1;17;11;1;0.002237136;0.011764706;0.02685624;0.017377567;0.005102041
dental;1;#NV;12;11;1;0.002237136;#NV;0.018957346;0.017377567;0.005102041
dating;1;#NV;17;7;#NV;0.002237136;#NV;0.02685624;0.011058452;#NV
anime;1;#NV;6;7;1;0.002237136;#NV;0.009478673;0.011058452;0.005102041
python;1;#NV;1;6;#NV;0.002237136;#NV;0.001579779;0.009478673;#NV
