Name,Group1,Group2,Tie_number,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_volume_in,RT_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
adammshankman,golf,dance,1.0,2,0.373134328358,0.268656716418,0.10447761194,0.00297948371484,54.0,0,21.0,0,0.194029850746,0.129353233831,0.0646766169154,0.00374563133294,94.0,74.0,94.0,0,74.0,0,72.0,5.0,72.0,0,5.0,0
PUMAGolf,golf,dance,1.0,1,0.422885572139,0.119402985075,0.303482587065,0.00156880994549,24.0,0,61.0,0,0.0995024875622,0.0348258706468,0.0646766169154,0.0019030690353,20.0,118.0,20.0,0,118.0,0,34.0,85.0,34.0,0,85.0,0
Dance_SpiritMag,golf,dance,1.0,1,0.701492537313,0.278606965174,0.422885572139,0.0828523329371,56.0,0,85.0,0,0.333333333333,0.134328358209,0.199004975124,0.0497983785474,57.0,132.0,57.0,0,132.0,0,128.0,95.0,128.0,0,95.0,0
groovaloos,golf,dance,1.0,1,0.238805970149,0.0597014925373,0.179104477612,0.0077418438067,12.0,0,36.0,0,0.0696517412935,0.00995024875622,0.0597014925373,0.00112111829867,3.0,38.0,3.0,0,38.0,0,10.0,12.0,10.0,0,12.0,0
stewartcink,golf,dance,1.0,1,0.497512437811,0.348258706468,0.149253731343,0.00558799200422,70.0,0,30.0,0,0.253731343284,0.174129353234,0.0796019900498,0.00971841589383,163.0,52.0,163.0,0,52.0,0,12.0,20.0,12.0,0,20.0,0
TROYMERRITT_PGA,golf,dance,1.0,1,0.233830845771,0.154228855721,0.0796019900498,0.0017976252385,31.0,0,16.0,0,0.089552238806,0.044776119403,0.044776119403,0.000237301841215,23.0,119.0,23.0,0,119.0,0,9.0,0,9.0,0,0,0
dancewire,golf,dance,1.0,1,0.233830845771,0.109452736318,0.124378109453,0.00138266707902,22.0,0,25.0,0,0.0298507462687,0.00995024875622,0.0199004975124,0.000128846570604,2.0,6.0,2.0,0,6.0,0,3.0,6.0,3.0,0,6.0,0
ogilviej,golf,dance,1.0,1,0.298507462687,0.223880597015,0.0746268656716,0.000481277756707,45.0,0,15.0,0,0.124378109453,0.0696517412935,0.0547263681592,0.0033684672292,35.0,30.0,35.0,0,30.0,0,32.0,1.0,32.0,0,1.0,0
jacknicklaus,golf,dance,1.0,1,0.149253731343,0.149253731343,0.0,0.0,30.0,0,0,0,0.0149253731343,0.0149253731343,0.0,0.0,9.0,0,9.0,0,0,0,7.0,0,7.0,0,0,0
garyplayer,golf,dance,1.0,1,0.422885572139,0.154228855721,0.268656716418,0.00109374181869,31.0,0,54.0,0,0.0199004975124,0.0149253731343,0.00497512437811,1.4789743624e-05,3.0,1.0,3.0,0,1.0,0,32.0,0,32.0,0,0,0
ChrisDiMarco,golf,dance,1.0,1,0.248756218905,0.199004975124,0.0497512437811,0.000316585665425,40.0,0,10.0,0,0.0348258706468,0.0248756218905,0.00995024875622,8.70840740244e-05,10.0,3.0,10.0,0,3.0,0,23.0,3.0,23.0,0,3.0,0
Love3d,golf,dance,1.0,1,0.383084577114,0.283582089552,0.0995024875622,0.00275798361824,57.0,0,20.0,0,0.0945273631841,0.0646766169154,0.0298507462687,0.000987883627305,23.0,9.0,23.0,0,9.0,0,17.0,3.0,17.0,0,3.0,0
TimRosaforte,golf,dance,1.0,1,0.651741293532,0.223880597015,0.427860696517,0.00645320573592,45.0,0,86.0,0,0.283582089552,0.089552238806,0.194029850746,0.0112204346393,49.0,168.0,49.0,0,168.0,0,26.0,29.0,26.0,0,29.0,0
VokeyWedges,golf,dance,1.0,1,0.482587064677,0.0945273631841,0.388059701493,0.000896601146784,19.0,0,78.0,0,0.109452736318,0.0199004975124,0.089552238806,0.000373988056037,27.0,181.0,27.0,0,181.0,0,57.0,56.0,57.0,0,56.0,0
Joshu_Allen,golf,dance,1.0,1,0.323383084577,0.0995024875622,0.223880597015,0.00104155826962,20.0,0,45.0,0,0.179104477612,0.044776119403,0.134328358209,0.00191117442715,14.0,64.0,14.0,0,64.0,0,3.0,2.0,3.0,0,2.0,0
BradFaxon,golf,dance,1.0,1,0.313432835821,0.223880597015,0.089552238806,0.000655953952829,45.0,0,18.0,0,0.114427860697,0.0646766169154,0.0497512437811,0.000899916428351,28.0,29.0,28.0,0,29.0,0,12.0,7.0,12.0,0,7.0,0
Fehertwit,golf,dance,1.0,1,0.283582089552,0.26368159204,0.0199004975124,0.000319213938644,53.0,0,4.0,0,0.0597014925373,0.044776119403,0.0149253731343,0.000198387384878,33.0,3.0,33.0,0,3.0,0,12.0,0,12.0,0,0,0
suzannpettersen,golf,dance,1.0,1,0.412935323383,0.238805970149,0.174129353234,0.0016079600211,48.0,0,35.0,0,0.129353233831,0.0547263681592,0.0746268656716,0.00211119044377,48.0,64.0,48.0,0,64.0,0,15.0,15.0,15.0,0,15.0,0
TheQuestCrew,golf,dance,1.0,1,0.0945273631841,0.0497512437811,0.044776119403,0.000125176036558,10.0,0,9.0,0,0.00995024875622,0.00995024875622,0.0,0.0,8.0,0,8.0,0,0,0,0,50.0,0,0,50.0,0
nikegolf,golf,dance,1.0,1,0.313432835821,0.1592039801,0.154228855721,0.0082951623321,32.0,0,31.0,0,0.114427860697,0.0646766169154,0.0497512437811,0.00247726794408,52.0,120.0,52.0,0,120.0,0,72.0,9.0,72.0,0,9.0,0
StuartAppleby,golf,dance,1.0,1,0.203980099502,0.203980099502,0.0,0.0,41.0,0,0,0,0.0398009950249,0.0398009950249,0.0,0.0,11.0,0,11.0,0,0,0,15.0,0,15.0,0,0,0
MaksimC,golf,dance,1.0,1,0.0945273631841,0.0696517412935,0.0248756218905,0.000152700021889,14.0,0,5.0,0,0.0547263681592,0.0398009950249,0.0149253731343,0.00024911169999,15.0,10.0,15.0,0,10.0,0,9.0,1.0,9.0,0,1.0,0
GolfWorld1,golf,dance,1.0,1,0.417910447761,0.0796019900498,0.338308457711,0.00192953054342,16.0,0,68.0,0,0.0945273631841,0.00995024875622,0.0845771144279,0.000523145549052,2.0,28.0,2.0,0,28.0,0,5.0,138.0,5.0,0,138.0,0
StephanieWei,golf,dance,1.0,1,0.502487562189,0.174129353234,0.328358208955,0.0041935515214,35.0,0,66.0,0,0.199004975124,0.0547263681592,0.144278606965,0.0080363065381,37.0,92.0,37.0,0,92.0,0,13.0,69.0,13.0,0,69.0,0
mKiK808,golf,dance,1.0,1,0.358208955224,0.189054726368,0.169154228856,0.00375022232209,38.0,0,34.0,0,0.213930348259,0.114427860697,0.0995024875622,0.000720119884026,320.0,101.0,320.0,0,101.0,0,14.0,19.0,14.0,0,19.0,0
PGATOUR,golf,dance,1.0,1,0.776119402985,0.313432835821,0.462686567164,0.0264815546608,63.0,0,93.0,0,0.199004975124,0.154228855721,0.044776119403,0.00509210534888,86.0,16.0,86.0,0,16.0,0,57.0,157.0,57.0,0,157.0,0
usopengolf,golf,dance,1.0,1,0.572139303483,0.134328358209,0.437810945274,0.00265514611005,27.0,0,88.0,0,0.044776119403,0.0348258706468,0.00995024875622,4.18042432968e-05,15.0,2.0,15.0,0,2.0,0,4.0,0,4.0,0,0,0
DanceDotCom_,golf,dance,1.0,1,0.457711442786,0.109452736318,0.348258706468,0.0123075159924,22.0,0,70.0,0,0.0398009950249,0.00497512437811,0.0348258706468,0.000106305757613,1.0,18.0,1.0,0,18.0,0,3.0,0,3.0,0,0,0
golfrewind,golf,dance,1.0,1,0.0696517412935,0.0348258706468,0.0348258706468,8.83966973805e-05,7.0,0,7.0,0,0.124378109453,0.0149253731343,0.109452736318,0.000966441863704,3.0,50.0,3.0,0,50.0,0,0,8.0,0,0,8.0,0
nationalballet,golf,dance,1.0,1,0.174129353234,0.119402985075,0.0547263681592,0.000174869409381,24.0,0,11.0,0,0.0597014925373,0.0497512437811,0.00995024875622,0.000143762901767,18.0,2.0,18.0,0,2.0,0,24.0,10.0,24.0,0,10.0,0
European_Tour,golf,dance,1.0,1,0.348258706468,0.174129353234,0.174129353234,0.00484020281098,35.0,0,35.0,0,0.134328358209,0.0348258706468,0.0995024875622,0.00225988884581,11.0,79.0,11.0,0,79.0,0,36.0,220.0,36.0,0,220.0,0
PhillipChbeeb,golf,dance,1.0,1,0.228855721393,0.129353233831,0.0995024875622,0.00127447633686,26.0,0,20.0,0,0.0845771144279,0.0398009950249,0.044776119403,0.000247040763604,31.0,12.0,31.0,0,12.0,0,12.0,7.0,12.0,0,7.0,0
