Name,Group1,Group2,Number_between_ties,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_total_volume_in,RT_total_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
bennyboosh,gaming,surfing,26.0,1,0.492537313433,0.228855721393,0.26368159204,0.00151378187441,46.0,0,53.0,0,0.119402985075,0.0597014925373,0.0597014925373,0.000284767427257,34.0,43.0,34.0,0,43.0,0,3.0,2.0,3.0,0,2.0,0
Mick_Fanning,gaming,surfing,26.0,1,0.726368159204,0.437810945274,0.28855721393,0.00911730541935,88.0,0,58.0,0,0.457711442786,0.26368159204,0.194029850746,0.0341768743623,401.0,336.0,401.0,0,336.0,0,171.0,13.0,171.0,0,13.0,0
ripcurl_usa,gaming,surfing,26.0,1,0.512437810945,0.199004975124,0.313432835821,0.00106012181534,40.0,0,63.0,0,0.149253731343,0.0398009950249,0.109452736318,0.00434294098112,13.0,115.0,13.0,0,115.0,0,91.0,181.0,91.0,0,181.0,0
QuiksilverEvent,gaming,surfing,26.0,1,0.44776119403,0.114427860697,0.333333333333,0.000880806494379,23.0,0,67.0,0,0.044776119403,0.0348258706468,0.00995024875622,1.58931154916e-05,23.0,3.0,23.0,0,3.0,0,24.0,45.0,24.0,0,45.0,0
videogamedeals,gaming,surfing,26.0,1,0.0746268656716,0.0497512437811,0.0248756218905,0.000111355107718,10.0,0,5.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
floresjeremy,gaming,surfing,26.0,1,0.338308457711,0.243781094527,0.0945273631841,0.000740790127513,49.0,0,19.0,0,0.243781094527,0.124378109453,0.119402985075,0.00444296591445,164.0,198.0,164.0,0,198.0,0,102.0,18.0,102.0,0,18.0,0
Official_PAX,gaming,surfing,26.0,1,0.149253731343,0.149253731343,0.0,0.0,30.0,0,0,0,0.0248756218905,0.0149253731343,0.00995024875622,0.000285825623709,3.0,2.0,3.0,0,2.0,0,12.0,1.0,12.0,0,1.0,0
JD_2020,gaming,surfing,26.0,1,0.189054726368,0.139303482587,0.0497512437811,0.000425078128059,28.0,0,10.0,0,0.0945273631841,0.0298507462687,0.0646766169154,0.00744637712227,9.0,52.0,9.0,0,52.0,0,8.0,1.0,8.0,0,1.0,0
fantasysurfer,gaming,surfing,26.0,1,0.487562189055,0.203980099502,0.283582089552,0.00151162817673,41.0,0,57.0,0,0.338308457711,0.134328358209,0.203980099502,0.00524595272172,87.0,329.0,87.0,0,329.0,0,189.0,1352.0,189.0,0,1352.0,0
FreddyP808,gaming,surfing,26.0,1,0.437810945274,0.338308457711,0.0995024875622,0.000761546713144,68.0,0,20.0,0,0.293532338308,0.208955223881,0.0845771144279,0.00848714941399,204.0,61.0,204.0,0,61.0,0,118.0,12.0,118.0,0,12.0,0
