Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,FF_bin_betweeness,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_bin_betweeness,AT_avg_tie_strength,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,psychology_mentalhealth,endstigma,1,0.0129628518274,0.00534117505851,0.00762167676889,89.0,127.0,43,53,0.469387755102,3.42954492489e-05,0.00198043569585,0.000420092420332,0.00156034327552,14.0,74.0,6,18,0.0645161290323,0.000160991230124,2.66666666667,5.79,0.000240052811619,6.00132029046e-05,6.0,1.0
584,psychology_mentalhealth,NAMIMass,1,0.0163235911901,0.00588129388465,0.0104422973054,98.0,174.0,39,54,0.502762430939,3.87294929647e-05,0.00162035647843,0.00114025085519,0.000480105623237,44.0,24.0,12,7,0.08,6.11501130456e-05,2.51851851852,20.3544444444,0.000180039608714,0.000240052811619,5.0,4.0
584,psychology_mentalhealth,DepressionForum,1,0.0108623897257,0.00402088459461,0.00684150513113,67.0,114.0,35,51,0.4140625,1.62583185658e-05,0.00168036968133,0.000540118826142,0.00114025085519,28.0,61.0,6,10,0.166666666667,1.42793612952e-05,3.17857142857,14.81,0.0,0.000180039608714,0,3.0
584,psychology_mentalhealth,iopsychology,1,0.00228050171038,0.00120026405809,0.00108023765228,20.0,18.0,14,12,0.117647058824,3.33171358642e-06,0.00216047530457,6.00132029046e-05,0.00210046210166,1.0,376.0,1,18,0.0,0.000104552579163,10.4722222222,0.42,6.00132029046e-05,0.000180039608714,1.0,3.0
584,psychology_mentalhealth,DrJennifer,1,0.129208425854,0.0706955530217,0.058512872832,1178.0,975.0,138,131,0.736290322581,0.000948522495141,0.0051611354498,0.00456100342075,0.000600132029046,169.0,11.0,36,8,0.0617283950617,3.10915639593e-05,2.09302325581,59.9391630592,0.000660145231951,0.00378083178299,18.0,165.0
584,psychology_mentalhealth,danariely,2,0.00912200684151,0.0090019804357,0.000120026405809,150.0,2.0,54,2,0.00662251655629,1.08152088189e-07,0.00474104302947,0.00360079217428,0.00114025085519,115.0,25.0,31,13,0.025974025974,6.80195731411e-05,1.77215189873,44.5855102041,0.00168036968133,6.00132029046e-05,37.0,1.0
584,psychology_mentalhealth,LRothschildPhD,1,0.0338474464382,0.0148232611174,0.0190241853208,247.0,317.0,72,85,0.7625,0.000105082195529,0.00114025085519,0.000180039608714,0.000960211246474,7.0,87.0,3,14,0.117647058824,8.71361215905e-06,4.94736842105,3.9,0.000120026405809,0.000420092420332,2.0,10.0
584,psychology_mentalhealth,MentalHealthSoc,1,0.0456100342075,0.0205245153934,0.0250855188141,342.0,418.0,96,108,0.779859484778,6.28939835825e-05,0.000120026405809,0.000120026405809,0.0,7.0,0,2,0,0.0,0.0,3.5,3.65,0.0,0.0,0,0
584,psychology_mentalhealth,tlomauro,1,0.0211846606253,0.0077417031747,0.0134429574506,129.0,224.0,43,54,0.412,0.000116904348369,0.00474104302947,0.0013202904639,0.00342075256556,98.0,487.0,10,19,0.215384615385,0.000213779527836,7.40506329114,53.0092929293,0.000300066014523,0.00192042249295,47.0,63.0
584,psychology_mentalhealth,kctherapist,1,0.0136830102623,0.00528116185561,0.00840184840665,88.0,140.0,32,45,0.628571428571,3.55315598195e-05,0.00090019804357,0.000180039608714,0.000720158434856,5.0,62.0,3,8,0.0714285714286,5.26736906098e-05,4.46666666667,2.1,0.000120026405809,0.0,2.0,0
584,psychology_mentalhealth,tomguarriello,1,0.0318670107424,0.00924203324731,0.022624977495,154.0,377.0,68,91,0.307881773399,0.000137039187857,0.00528116185561,0.000720158434856,0.00456100342075,26.0,181.0,10,37,0.0864197530864,2.94750339865e-05,2.35227272727,9.82676767677,0.000300066014523,0.000240052811619,6.0,5.0
584,psychology_mentalhealth,DrCarlHindy,2,0.0529316449619,0.0269459281042,0.0259857168577,449.0,433.0,81,81,0.94701986755,0.000103447178592,0.00174038288423,0.000600132029046,0.00114025085519,19.0,34.0,7,7,0.0,2.65571215802e-06,1.8275862069,8.81141414142,0.000420092420332,0.000360079217428,8.0,6.0
584,psychology_mentalhealth,heisberger,1,0.0228050171038,0.0135629838564,0.00924203324731,226.0,154.0,67,52,0.596638655462,6.23535143191e-05,0.00318069975395,0.000300066014523,0.00288063373942,6.0,100.0,5,24,0.0392156862745,6.07676668151e-05,2.0,2.37535353535,0.000180039608714,0.000420092420332,4.0,7.0
584,psychology_mentalhealth,KatieGoode,1,0.0172838024365,0.00756166356598,0.00972213887055,126.0,162.0,44,48,0.694117647059,1.73252476555e-05,0.00204044889876,0.000300066014523,0.00174038288423,8.0,77.0,3,16,0.133333333333,8.20381319278e-06,2.5,4.56,6.00132029046e-05,0.000660145231951,5.0,15.0
584,psychology_mentalhealth,mental__health,1,0.00858188801536,0.00474104302947,0.0038408449859,79.0,64.0,41,39,0.625,6.80218689109e-06,6.00132029046e-05,6.00132029046e-05,0.0,2.0,0,1,0,0.0,0.0,2.0,0.98,6.00132029046e-05,0.0,1.0,0
584,psychology_mentalhealth,BPSjournals,1,0.00138030366681,0.00078017163776,0.000600132029046,13.0,10.0,6,4,0.0952380952381,6.3770547446e-07,0.000240052811619,6.00132029046e-05,0.000180039608714,4.0,3.0,1,3,0.0,1.60822873987e-06,1.75,1.68,0.000120026405809,0.0,2.0,0
584,psychology_mentalhealth,WRY999,2,0.0652943647602,0.0322270899598,0.0330672748005,537.0,551.0,108,109,0.963898916968,0.000703698251808,0.00402088459461,0.00090019804357,0.00312068655104,31.0,166.0,7,20,0.0983606557377,0.000109822618022,2.94029850746,13.2951515152,0.000540118826142,0.000360079217428,111.0,7.0
584,psychology_mentalhealth,drhenslin,1,0.0886395006902,0.0433895457001,0.0452499549901,723.0,754.0,124,131,0.886334610473,0.000500676165433,0.00234051491328,0.00102022444938,0.0013202904639,20.0,60.0,14,13,0.0540540540541,2.82246567377e-05,2.05128205128,9.58,0.000360079217428,0.000600132029046,9.0,35.0
