Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
ABCFgreek,tvshows_drama_hollywood,375,tvshows_drama_hollywood,375,1,"tvshows_drama_hollywood,375"
vampirediaries,tvshows_drama_hollywood,358,tvshows_drama_hollywood,358,1,"tvshows_drama_hollywood,358"
KylieJenner,tvshows_drama_hollywood,463,tvshows_drama_hollywood,463,1,"tvshows_drama_hollywood,463"
TheSlyStallone,tvshows_drama_hollywood,439,tvshows_drama_hollywood,439,1,"tvshows_drama_hollywood,439"
IMDb,tvshows_drama_hollywood,46,tvshows_drama_hollywood,46,1,"tvshows_drama_hollywood,46"
jimmyfallon,tvshows_drama_hollywood,23,tvshows_drama_hollywood,23,1,"tvshows_drama_hollywood,23"
criminalminds,tvshows_drama_hollywood,218,tvshows_drama_hollywood,218,1,"tvshows_drama_hollywood,218"
CarltonCuse,tvshows_drama_hollywood,214,tvshows_drama_hollywood,214,1,"tvshows_drama_hollywood,214"
GossipCop,tvshows_drama_hollywood,362,tvshows_drama_hollywood,362,1,"tvshows_drama_hollywood,362"
TheRock,tvshows_drama_hollywood,269,tvshows_drama_hollywood,269,1,"tvshows_drama_hollywood,269"
StephenAtHome,tvshows_drama_hollywood,138,tvshows_drama_hollywood,138,1,"tvshows_drama_hollywood,138"
TVGuide,tvshows_drama_hollywood,155,tvshows_drama_hollywood,155,1,"tvshows_drama_hollywood,155"
janemarielynch,tvshows_drama_hollywood,226,tvshows_drama_hollywood,226,1,"tvshows_drama_hollywood,226"
nbcsvu,tvshows_drama_hollywood,493,tvshows_drama_hollywood,493,1,"tvshows_drama_hollywood,493"
ladygaga,tvshows_drama_hollywood,4,tvshows_drama_hollywood,4,1,"tvshows_drama_hollywood,4"
Miramax,tvshows_drama_hollywood,294,tvshows_drama_hollywood,294,1,"tvshows_drama_hollywood,294"
zoesaldana,tvshows_drama_hollywood,395,tvshows_drama_hollywood,395,1,"tvshows_drama_hollywood,395"
WilliamShatner,tvshows_drama_hollywood,107,tvshows_drama_hollywood,107,1,"tvshows_drama_hollywood,107"
Psych_USA,tvshows_drama_hollywood,289,tvshows_drama_hollywood,289,1,"tvshows_drama_hollywood,289"
ParamountPics,tvshows_drama_hollywood,101,tvshows_drama_hollywood,101,1,"tvshows_drama_hollywood,101"
ABCFpll,tvshows_drama_hollywood,324,tvshows_drama_hollywood,324,1,"tvshows_drama_hollywood,324"
ZacharyLevi,tvshows_drama_hollywood,156,tvshows_drama_hollywood,156,1,"tvshows_drama_hollywood,156"
Drake,tvshows_drama_hollywood,390,tvshows_drama_hollywood,390,1,"tvshows_drama_hollywood,390"
DiannaAgron,tvshows_drama_hollywood,182,tvshows_drama_hollywood,182,1,"tvshows_drama_hollywood,182"
NellyFurtado,tvshows_drama_hollywood,277,tvshows_drama_hollywood,277,1,"tvshows_drama_hollywood,277"
jumblejim,tvshows_drama_hollywood,286,tvshows_drama_hollywood,286,1,"tvshows_drama_hollywood,286"
chriscolfer,tvshows_drama_hollywood,63,tvshows_drama_hollywood,63,1,"tvshows_drama_hollywood,63"
hollywood_ch,tvshows_drama_hollywood,484,tvshows_drama_hollywood,484,1,"tvshows_drama_hollywood,484"
enrique305,tvshows_drama_hollywood,357,tvshows_drama_hollywood,357,1,"tvshows_drama_hollywood,357"
johnlegend,tvshows_drama_hollywood,379,tvshows_drama_hollywood,379,1,"tvshows_drama_hollywood,379"
NayaRivera,tvshows_drama_hollywood,207,tvshows_drama_hollywood,207,1,"tvshows_drama_hollywood,207"
Discovery,tvshows_drama_hollywood,429,tvshows_drama_hollywood,429,1,"tvshows_drama_hollywood,429"
BurnNotice_USA,tvshows_drama_hollywood,296,tvshows_drama_hollywood,296,1,"tvshows_drama_hollywood,296"
EmilyOsment,tvshows_drama_hollywood,321,tvshows_drama_hollywood,321,1,"tvshows_drama_hollywood,321"
LilTunechi,tvshows_drama_hollywood,364,tvshows_drama_hollywood,364,1,"tvshows_drama_hollywood,364"
msleamichele,tvshows_drama_hollywood,57,tvshows_drama_hollywood,57,1,"tvshows_drama_hollywood,57"
AmericanIdol,tvshows_drama_hollywood,422,tvshows_drama_hollywood,422,1,"tvshows_drama_hollywood,422"
jeremypiven,tvshows_drama_hollywood,64,tvshows_drama_hollywood,64,1,"tvshows_drama_hollywood,64"
1capplegate,tvshows_drama_hollywood,123,tvshows_drama_hollywood,123,1,"tvshows_drama_hollywood,123"
KChenoweth,tvshows_drama_hollywood,142,tvshows_drama_hollywood,142,1,"tvshows_drama_hollywood,142"
Syfy,tvshows_drama_hollywood,236,tvshows_drama_hollywood,236,1,"tvshows_drama_hollywood,236"
nickjonas,tvshows_drama_hollywood,112,tvshows_drama_hollywood,112,1,"tvshows_drama_hollywood,112"
Jeffrey_Donovan,tvshows_drama_hollywood,500,tvshows_drama_hollywood,500,1,"tvshows_drama_hollywood,500"
Variety_TV,tvshows_drama_hollywood,426,tvshows_drama_hollywood,426,1,"tvshows_drama_hollywood,426"
