XebiaFr,java,69,1
joeracer,java,70,1
njbartlett,java,71,1
ekabanov,java,72,1
dzonejames,java,73,1
Hibernate__,java,74,1
OlivierCroisier,java,75,1
kevinb9n,java,76,1
parisjug,java,77,1
mfiguiere,java,79,1
duchessfr,java,80,1
GeertjanW,java,81,1
myfear,java,82,1
SpringRoo,java,83,1
jbossseam,java,84,1
JonathanGiles,java,85,1
mojavelinux,java,86,1
habuma,java,87,1
costinl,java,88,1
JavaSpotlight,java,89,1
jfarcand,java,90,1
benjmestrallet,java,91,1
OracleDevTools,java,92,1
burke_eric,java,93,1
java7developer,java,94,1
juliendubois,java,95,1
crichardson,java,96,1
netty_project,java,97,1
sam_brannen,java,98,1
loic_d,java,101,1
stringbuffer,java,103,1
Eclipse_Tips,java,104,1
benalexau,java,105,1
peter_pilgrim,java,107,1
antoine_sd,java,108,1
maddow,liberal,1,6
KeithOlbermann,liberal,2,3
MMFlint,liberal,3,6
markos,liberal,5,2
billmaher,liberal,6,4
dailykos,liberal,7,3
jilevin,liberal,8,1
thenation,liberal,9,3
Shoq,liberal,10,1
MotherJones,liberal,11,4
GottaLaff,liberal,12,1
StopBeck,liberal,13,3
NYTimeskrugman,liberal,14,3
AlanColmes,liberal,16,1
thinkprogress,liberal,17,3
ariannahuff,liberal,18,2
JeffreyFeldman,liberal,20,1
WeGotEd,liberal,21,1
EileenLeft,liberal,22,1
juanrallo,liberal,23,1
ggreenwald,liberal,24,1
OTOOLEFAN,liberal,25,1
janinewallace,liberal,26,1
mmfa,liberal,27,2
chrislhayes,liberal,28,3
alfranken,liberal,29,3
AlterNet,liberal,30,2
redliberal,liberal,31,1
buzzflash,liberal,32,1
AlanGrayson,liberal,33,2
LiberallyLiving,liberal,34,1
truthout,liberal,35,1
joanwalsh,liberal,36,1
partidolibertad,liberal,37,1
RyanNewYork,liberal,38,1
KatrinaNation,liberal,39,1
ezraklein,liberal,40,4
DustyTrice,liberal,41,1
M_Ignatieff,liberal,42,1
Karoli,liberal,43,1
BoldProgressive,liberal,44,1
crooksandliars,liberal,45,1
amprog,liberal,46,2
TheNewDeal,liberal,47,1
southerntalker,liberal,48,1
jorgevalin,liberal,49,1
argylestyle,liberal,50,1
VegasJessie,liberal,51,1
GoLeftYoungMan,liberal,52,1
pzmyers,liberal,53,2
MoveOn,liberal,54,3
BrettR4763,liberal,55,1
mattyglesias,liberal,56,1
RBReich,liberal,57,1
ElMonte08,liberal,58,1
KMers,liberal,59,1
TheYoungTurks,liberal,60,1
1txsage1957,liberal,61,2
EzKool,liberal,62,1
MHarrisPerry,liberal,63,1
rodriguezbraun,liberal,64,1
jazgar,liberal,66,1
novenator,liberal,68,1
JuliaAdair,liberal,69,1
owillis,liberal,70,1
TPElections,liberal,71,1
Serpentine202,liberal,72,1
ArrghPaine,liberal,73,1
Marnus3,liberal,74,1
AngryVoters,liberal,75,1
peoplefor,liberal,76,1
slinkerwink,liberal,77,1
KagroX,liberal,78,1
ciudad_liberal,liberal,79,1
Anomaly100,liberal,80,2
OurFuture,liberal,81,1
JAMES_X_,liberal,82,1
srjones66,liberal,83,1
LiberalFeeds,liberal,85,1
DavidCornDC,liberal,86,2
