Project,Name,Member_count,Competing_Lists,Shared_Language,Shared_Language_Ratio,FF_Nodes,AT_Nodes,RT_Nodes,FF_Edges,AT_Edges,RT_Edges,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,construction,6098,117,16454,1.366384322,101,101,101,3387,777,395,0.335346535,0.568019802,1.691717172,2.238901746,0.649948004,0.414620702,0.552245646,0.275862069,0.471654781,0.290904149,0.16950495,1712
584,cycling,15358,106,4154,0.937274368,101,101,101,3279,2145,926,0.324653465,1.312178218,1.716039604,1.883737374,0.657119882,0.479984276,0.341653028,0.411184211,0.390575015,0.358486679,0.307128713,3102
584,dance,14952,105,15316,0.559877175,101,101,101,2840,1932,907,0.281188119,1.513168317,1.885049505,2.16039604,0.692650839,0.615704056,0.482254697,0.495356037,0.472295073,0.465843395,0.346336634,3498
584,database,800,107,4055,0.447571744,101,101,101,1045,492,306,0.103465347,0.678811881,2.310751105,2.404911181,0.546855536,0.38419347,0.429548564,0.426086957,0.39070913,0.518103448,0.13039604,1317
584,dating,3617,103,19455,1.834512023,101,101,101,4005,2139,709,0.396534653,2.022970297,1.586336634,1.715007215,0.657527415,0.576174086,0.623429266,0.425049967,0.517188355,0.492426225,0.23019802,2325
584,democrat,1731,113,132,0.065606362,101,101,101,1942,494,235,0.192277228,0.202376238,1.818282828,2.219225968,0.643508626,0.364395075,0.311276165,0.193236715,0.283108016,0.176543648,0.062475248,631
584,dental,4359,101,21546,8.406554819,101,101,101,3509,708,337,0.347425743,0.262178218,1.602871287,1.727064745,0.696089726,0.3135004,0.468200837,0.291970803,0.451329084,0.190363049,0.112079208,1132
584,developer,18075,164,812,0.042140225,101,101,101,1111,919,443,0.11,1.037029703,2.468787879,2.390145577,0.490779709,0.419096484,0.401008827,0.521523179,0.365169651,0.486881618,0.131782178,1331
584,director,3815,148,1264,0.026767752,101,101,101,817,449,229,0.080891089,0.3,2.918472544,2.609518477,0.462214173,0.29121224,0.264705882,0.348348348,0.210328422,0.241880342,0.11039604,1115
584,documentary,1121,115,10638,0.626427983,101,101,101,3530,1164,715,0.34950495,0.614455446,1.645858586,2.027850877,0.71577801,0.472474104,0.441404655,0.297658863,0.486936698,0.328151294,0.247227723,2497
584,drums,598,105,3144,1.793496863,101,101,101,2709,828,469,0.268217822,0.371980198,1.71039604,1.60672615,0.696849355,0.445310949,0.332513527,0.230312036,0.375971965,0.208816831,0.158613861,1602
584,energy,12582,117,44486,0.685412301,101,101,101,3492,669,330,0.345742574,0.506435644,1.596534653,1.728406514,0.670300931,0.364568903,0.556843513,0.192513369,0.469945355,0.183029197,0.188514851,1904
584,engineering,3547,114,8417,0.858176998,101,101,101,1845,232,192,0.182673267,0.072277228,1.893540922,1.899350649,0.649557674,0.254238704,0.404109589,0.16,0.367473373,0.11801676,0.052772277,533
584,etsy_handmade,21345,102,10211,3.42191689,101,101,101,5860,868,240,0.58019802,3.153762376,1.366732673,2.451089109,0.767507686,0.406439234,0.80030722,0.172972973,0.692949747,0.225585078,0.04980198,503
584,exercise_fitness,28653,140,11138,0.777847615,101,101,101,3522,1094,338,0.348712871,0.931584158,1.708811881,2.138048246,0.649859489,0.407726054,0.55565371,0.257471264,0.468420558,0.270446097,0.131980198,1333
584,fantasy,5763,112,26046,1.782873571,101,101,101,2568,1313,680,0.254257426,1.205940594,1.739207921,2.062049062,0.623591866,0.445778722,0.336803748,0.32760364,0.334018509,0.311273457,0.395940594,3999
584,filmfestival,977,114,25,0.892857143,101,101,101,2581,262,125,0.255544554,0.071980198,1.662376238,1.921677215,0.662703461,0.205309023,0.287281796,0.100840336,0.336093796,0.131130064,0.040693069,411
584,finance_economics,25056,154,504,0.093819806,101,101,101,2238,1342,606,0.221584158,1.097029703,1.923211709,1.91774055,0.645374007,0.52888965,0.35472155,0.393561786,0.396529666,0.491496686,0.282574257,2854
584,fishing,5456,106,39601,2.909698751,101,101,101,4335,664,316,0.429207921,0.384257426,1.477821782,1.666800321,0.700268138,0.453863164,0.640181612,0.320079523,0.545330749,0.269014311,0.114554455,1157
584,flash,3711,110,12262,0.533315936,101,101,101,3033,2618,1385,0.30029703,2.411881188,1.709306931,1.812970297,0.626388334,0.621463712,0.404817045,0.465845465,0.426977257,0.512389361,0.437326733,4417
584,food_chef,127932,166,4773,0.258195391,100,100,100,3589,2164,819,0.362525253,1.252929293,1.603380746,1.854512939,0.728468269,0.541226854,0.374042879,0.391639871,0.449268981,0.408945789,0.273333333,2706
584,gambling,951,105,3146,1.369016536,101,101,101,1238,240,125,0.122574257,0.252376238,2.008787879,1.065972222,0.442183854,0.307386164,0.410022779,0.28342246,0.265024304,0.393822394,0.065841584,665
584,gaming,16728,116,2370,0.240194588,101,101,101,2796,1548,643,0.276831683,0.852277228,1.743069307,1.80970297,0.66548263,0.387975157,0.293246994,0.277227723,0.3372458,0.252107365,0.19960396,2016
584,gardening,6536,105,14470,3.504480504,101,101,101,6023,1641,588,0.596336634,1.813564356,1.384059406,1.738294674,0.784968119,0.52837335,0.716443431,0.414655172,0.672371871,0.501630345,0.485346535,4902
584,genealogy,1977,105,16413,49.28828829,101,101,101,6813,2668,1380,0.674554455,2.697326733,1.311089109,1.627128713,0.864752227,0.680007165,0.670262319,0.433637829,0.714233975,0.485839265,0.532772277,5381
584,geography,1395,116,3442,1.852529602,101,101,101,2155,708,544,0.213366337,0.358118812,1.827425743,2.158505155,0.588802415,0.364964002,0.461016949,0.284936479,0.367969213,0.240744871,0.185148515,1870
584,golf,17167,101,12060,0.743664056,101,101,101,3930,2167,924,0.389108911,1.504455446,1.55020202,1.87,0.770461476,0.515260074,0.295746785,0.306996381,0.423170721,0.378167107,0.30049505,3035
584,guitar,5839,104,23742,2.696116284,101,101,101,3033,777,366,0.30029703,0.441980198,1.441188119,1.828393471,0.706705649,0.437242692,0.45537428,0.237261146,0.388419974,0.197921701,0.14960396,1511
584,hacking,1782,109,1694,0.277159686,101,101,101,1571,844,765,0.155544554,0.496534653,1.998811881,2.016697588,0.592147404,0.438327453,0.284546198,0.333333333,0.309340063,0.316378868,0.377524752,3813
584,healthcare_medicine,21744,144,2261,0.227396158,101,101,101,4546,2135,937,0.45009901,1.436732673,1.494848485,1.726565657,0.743179409,0.566909849,0.503306878,0.354695431,0.526811935,0.408689108,0.404653465,4087
584,highered,6305,110,304,4,101,101,101,4785,3356,1113,0.473762376,4.417722772,1.515049505,1.751584158,0.731035842,0.659521667,0.651708664,0.571161049,0.652041097,0.637709343,0.307524752,3106
584,history,9979,124,11685,0.167188908,101,101,101,3344,641,429,0.331089109,0.281386139,1.611782178,2.236101579,0.66435987,0.313623558,0.460262009,0.239845261,0.420149792,0.199188023,0.158316832,1599
584,hockey,14937,101,6882,0.786424409,101,101,101,4498,1634,1051,0.445346535,1.149405941,1.553960396,1.890594059,0.788672127,0.488936791,0.43797954,0.316680097,0.516859484,0.321479974,0.465346535,4700
584,homeschool_school,11250,103,5364,0.041017955,101,101,101,5958,1915,758,0.58990099,1.571683168,1.403762376,1.692872807,0.803365365,0.583996519,0.713053479,0.387681159,0.682476391,0.446675679,0.281386139,2842
584,horror,4166,108,14200,1.542472301,101,101,101,4364,1186,559,0.432079208,0.756039604,1.509405941,2.028686869,0.716445293,0.411162666,0.543140028,0.206510682,0.507689625,0.22999154,0.141089109,1425
584,hospitality,8587,111,4362,1.457887701,101,101,101,3460,1016,263,0.342574257,0.567425743,1.617676768,1.955988456,0.631385676,0.395080554,0.542576906,0.230024213,0.451984684,0.212881425,0.109405941,1105
584,housing,1970,110,17275,0.995103687,101,101,101,3972,1043,763,0.393267327,0.45019802,1.73960396,1.744736842,0.771840349,0.572850953,0.501133787,0.311949686,0.558371673,0.277230432,0.247425743,2499
584,html,2309,121,1936,0.385657371,101,101,101,1790,1733,1084,0.177227723,1.666336634,1.796435644,1.843742851,0.585829663,0.567101321,0.389449185,0.488831615,0.349814299,0.506343841,0.431980198,4363
584,humanrights_activism_justice,19746,145,3241,0.198432621,101,101,101,2151,866,416,0.212970297,0.545544554,1.840891089,2.39627193,0.542307673,0.428773123,0.476321208,0.253256151,0.357730555,0.282322863,0.279405941,2822
584,hunting,2504,114,18253,2.332651757,101,101,101,5786,1418,598,0.572871287,1.292079208,1.448811881,1.690460526,0.799950046,0.589545433,0.649372862,0.356937799,0.632946352,0.357752085,0.183267327,1851
584,innovation,14499,124,21729,0.811358799,101,101,101,3621,1711,695,0.358514851,1.46009901,1.674752475,2.027107813,0.674841634,0.536251849,0.539540816,0.328416149,0.516575112,0.403844485,0.292574257,2955
584,insurance,5325,102,23904,1.290643054,101,101,101,3531,800,357,0.34960396,0.401485149,1.689405941,1.80890538,0.685623027,0.453223814,0.521327014,0.282051282,0.450275168,0.237559809,0.117920792,1191
584,investor,3429,117,741,0.163503972,101,101,101,2467,1680,833,0.244257426,1.008415842,2.106369821,1.772229822,0.683459255,0.572791407,0.388294879,0.397670549,0.495861869,0.453713604,0.251386139,2539
584,ipad,2823,147,25655,0.359595761,101,101,101,884,423,162,0.087524752,0.384851485,2.204184704,2.381926684,0.5422975,0.432009152,0.3,0.317757009,0.221437245,0.384391534,0.041782178,422
584,islam,3228,108,3996,2.065116279,101,101,101,1236,295,235,0.122376238,0.10019802,1.884044527,1.23923517,0.563088774,0.270637589,0.242211055,0.138996139,0.276627819,0.192340426,0.09970297,1007
584,java,2705,106,9980,1.351387949,101,101,101,1864,1453,1225,0.184554455,1.108118812,1.862277228,1.949420103,0.557293578,0.476250912,0.329529244,0.487205732,0.323796413,0.35643628,0.681485149,6883
584,jazz,7422,104,28619,2.814891315,101,101,101,3861,1188,729,0.382277228,0.786930693,1.462376238,1.916774055,0.70624328,0.440289432,0.449868569,0.255813953,0.453649283,0.297530199,0.25970297,2623
584,jewish,2333,108,23021,3.313327576,101,101,101,5411,1970,683,0.535742574,1.010891089,1.389108911,1.753663366,0.779118634,0.525132784,0.592876067,0.304635762,0.602117061,0.350632644,0.226138614,2284
584,jokes,1347,113,651,0.095862171,101,101,101,477,120,69,0.047227723,0.042673267,2.349247606,0.388961039,0.49301405,0.208252462,0.485981308,0.132075472,0.282518641,0.253521127,0.115049505,1162
584,lawyer_legal,19862,102,10182,0.469346363,101,101,101,5417,1958,833,0.536336634,1.602376238,1.441584158,1.860131932,0.758880076,0.486182319,0.657588739,0.373071529,0.608823263,0.404227567,0.28980198,2927
584,lesbian,2125,111,7390,3.248351648,101,101,101,2630,586,219,0.26039604,0.286534653,1.639191919,2.26984127,0.671803017,0.347684583,0.458679978,0.142300195,0.423876066,0.174862763,0.054950495,555
584,liberal,5334,150,714,0.164554045,101,101,101,3869,1351,1113,0.383069307,1.261782178,1.831919192,1.907878788,0.722529056,0.419693394,0.510148322,0.16969697,0.522565548,0.271512785,0.599405941,6054
584,linguistics,1851,106,1022,3.524137931,101,101,101,2876,1024,902,0.284752475,0.983663366,1.786138614,2.646161616,0.697250897,0.591591384,0.474115838,0.438202247,0.459225333,0.383787814,0.458316832,4629
584,linux_opensource,8908,101,115,0.273809524,101,101,101,1015,257,139,0.10049505,0.193465347,1.623465347,1.383893557,0.532199963,0.248465345,0.225845411,0.13215859,0.169547641,0.089391691,0.054059406,546
584,literacy,2955,113,9167,2.097231755,101,101,101,3326,1150,829,0.329306931,0.924158416,1.695049505,2.156532716,0.65165521,0.463718291,0.614563107,0.393939394,0.503347391,0.370389249,0.387722772,3916
584,mac_iphone,23853,154,15970,0.154550381,101,101,101,1179,647,314,0.116732673,0.533465347,2.034399327,2.450549451,0.541633898,0.422052405,0.274298056,0.362105263,0.300247659,0.435066566,0.122277228,1235
584,magazine,24106,156,1646,0.034443793,101,101,101,1019,340,89,0.100891089,0.062277228,2.032830016,1.937984496,0.452751471,0.259746404,0.2721598,0.093247588,0.268214055,0.122794118,0.014752475,149
584,magician,1141,103,2613,3.229913473,101,101,101,2603,1279,504,0.257722772,1.035247525,1.745346535,2.211129813,0.675114614,0.462560058,0.358559499,0.350580781,0.396769778,0.358962728,0.197722772,1997
584,management,7405,124,4286,0.108878445,101,101,101,828,247,137,0.081980198,0.182574257,2.22309613,2.281780538,0.446963026,0.280167546,0.401015228,0.247474747,0.303244217,0.231666667,0.03970297,401
584,marketing,139084,138,15615,0.20960857,101,101,101,4470,1559,285,0.442574257,1.46960396,1.494743352,1.72743561,0.725351692,0.500036919,0.714614499,0.335904027,0.608399994,0.421453787,0.108613861,1097
584,marriage,1050,105,22122,0.901356802,101,101,101,4229,1506,957,0.418712871,1.092574257,1.533861386,1.749140893,0.73566223,0.576039619,0.558216654,0.431558935,0.524618474,0.403740293,0.368613861,3723
584,mathematics,1666,102,2874,2.35188216,101,101,101,2220,1126,839,0.21980198,1.058316832,1.829504951,2.947777778,0.678681088,0.542597818,0.465346535,0.419924338,0.467370554,0.395199669,0.405049505,4091
584,meditation,2322,123,8528,1.101097482,101,101,101,1725,146,82,0.170792079,0.05009901,1.835291692,1.950290276,0.494429559,0.162991097,0.731927711,0.216666667,0.383314159,0.12962963,0.015742574,159
584,mobile_smartphone,21393,117,3527,0.377542282,101,101,101,2076,729,334,0.205544554,0.453366337,1.632079208,2.640122028,0.549640183,0.359435538,0.42778542,0.229342327,0.317225584,0.251351351,0.096435644,974
584,motorcycle,4008,117,8182,2.278473963,101,101,101,2824,1306,613,0.27960396,1.278316832,1.839207921,1.921459493,0.65604005,0.464855207,0.462454687,0.370409234,0.418566359,0.36138575,0.345643564,3491
584,multimedia,2802,110,3941,1.307998672,101,101,101,3296,1156,760,0.326336634,0.471881188,1.637227723,1.927547592,0.693281147,0.501970788,0.400764981,0.294512878,0.457007364,0.292519407,0.256138614,2587
584,musician_singer,38673,118,118,0.015204226,101,101,101,735,571,55,0.072772277,0.221485149,1.982222222,2.121052632,0.392145353,0.268746225,0.22296173,0.280269058,0.127158672,0.202068417,0.018811881,190
584,nature,12229,126,6953,0.281338513,101,101,101,4494,1338,622,0.444950495,2.038019802,1.531980198,2.038019802,0.687677442,0.489411054,0.734465457,0.372307692,0.587400244,0.430616988,0.41970297,4239
584,neuroscience,2258,126,3216,1.666321244,101,101,101,3031,932,767,0.30009901,0.516831683,1.555247525,1.903179825,0.670126315,0.457062143,0.376475931,0.362573099,0.381075762,0.323993942,0.307425743,3105
