Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,basketball,11024,101,101,101,0.314554455446,0.0991089108911,1.66000420787,2.63917525773,0.697526078123,0.281761888789,0.405752212389,0.150121065375,0.432715024368,0.107864674868,0.17099009901,1727.0
584,beauty_fashion_shopping,91348,101,101,101,0.452574257426,0.190297029703,1.52930693069,2.30603960396,0.752369171517,0.262602221693,0.37020383693,0.15782122905,0.499321789003,0.17686123733,0.255346534653,2579.0
584,beer,4932,101,101,101,0.541782178218,0.411386138614,1.44841584158,2.03930693069,0.803802855327,0.433475579116,0.56119828816,0.236816874401,0.590088802803,0.246237064911,0.115346534653,1165.0
584,biology,1563,101,101,101,0.227524752475,0.357227722772,1.72217821782,2.08669108669,0.576631173852,0.3760585531,0.37687237867,0.317894736842,0.371572474817,0.288939051919,0.241584158416,2440.0
584,blogs,41108,101,101,101,0.112178217822,0.31297029703,2.52587095444,0.657153729072,0.558121590155,0.4108786094,0.457583547558,0.438943894389,0.441135925007,0.538941480207,0.0471287128713,476.0
584,branding,7301,101,101,101,0.18504950495,0.0483168316832,1.92613861386,0.794405594406,0.437086364189,0.0994422244422,0.725761772853,0.245614035088,0.405140351564,0.0925925925926,0.0138613861386,140.0
584,buddhism,2882,101,101,101,0.223069306931,0.351782178218,1.78485148515,1.91978021978,0.654444814609,0.412714872211,0.439616613419,0.260240963855,0.410876343836,0.281931464174,0.31603960396,3192.0
584,cancer,6781,101,101,101,0.479207920792,0.31198019802,1.49821782178,2.10793183253,0.737640943984,0.39949121889,0.609042553191,0.1885625966,0.546542949186,0.193100218545,0.498118811881,5031.0
584,career_employment,12036,101,101,101,0.664653465347,0.869801980198,1.29861386139,1.84848484848,0.830592858912,0.51879071411,0.794919786096,0.276212832551,0.741348424722,0.358732269504,0.396930693069,4009.0
584,ceo,7534,101,101,101,0.189603960396,0.105643564356,1.85034013605,2.47046723479,0.577098763772,0.190168943192,0.467432950192,0.182926829268,0.371385454191,0.151617250674,0.0719801980198,727.0
584,charity_philanthropy,12034,101,101,101,0.324653465347,0.189900990099,1.67792079208,2.46212918157,0.676259843363,0.328299371471,0.535112359551,0.22149122807,0.467085156754,0.220635487326,0.147227722772,1487.0
584,chemistry,1568,101,101,101,0.265544554455,0.129108910891,1.68485148515,1.94725738397,0.667102347426,0.438286888148,0.424322889007,0.326446280992,0.420701622737,0.354511970534,0.264554455446,2672.0
584,children,5024,101,101,101,0.079504950495,0.0176237623762,2.33833943834,1.01600985222,0.439159426824,0.300957854406,0.602794411178,0.227272727273,0.384363219144,0.174757281553,0.0211881188119,214.0
584,cinema,11872,101,101,101,0.242277227723,0.0871287128713,1.9601980198,1.56760466712,0.605631436048,0.230185396478,0.375491849354,0.110738255034,0.393419790858,0.1,0.252376237624,2549.0
584,climatechange,798,101,101,101,0.247227722772,0.0663366336634,1.82519068233,0.973949579832,0.594242660214,0.196770657873,0.460233918129,0.085020242915,0.435640498153,0.153386454183,0.103564356436,1046.0
584,climbing,2410,101,101,101,0.404851485149,0.79900990099,1.55346534653,1.962594372,0.75155991736,0.417346811465,0.474576271186,0.3598937583,0.528660000873,0.320859253499,0.197722772277,1997.0
584,college,10191,101,101,101,0.215148514851,0.123069306931,1.98808080808,2.34093034128,0.701119513535,0.345826330495,0.447701532312,0.258064516129,0.423653525819,0.196084337349,0.114059405941,1152.0
584,comedy_funny,36694,101,101,101,0.287425742574,0.213564356436,1.63707070707,1.98837719298,0.626274821984,0.35154543981,0.45004995005,0.254448398577,0.435070376768,0.244563973449,0.120099009901,1213.0
584,comics,15030,101,101,101,0.212079207921,1.4200990099,1.78821782178,2.37851485149,0.639682328519,0.535607762465,0.484407484407,0.527613412229,0.439654327441,0.429946524064,0.394554455446,3985.0
584,composer,3607,101,101,101,0.349306930693,1.27267326733,1.66111111111,1.95104102247,0.66143261431,0.534491476329,0.55761589404,0.48418972332,0.486961277877,0.433681820582,0.120594059406,1218.0
584,construction,6098,101,101,101,0.335346534653,0.27099009901,1.69171717172,2.30876731964,0.649948004068,0.377030547877,0.552245646196,0.243781094527,0.471654780612,0.25303564434,0.169504950495,1712.0
