Project,Community,Person_ID,Place_on_list,Shared_Language,Other_language,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,accounting,DeFeliceA,66,13,0,1.35,0.57,0.78,57,78,0.819672131,0.011849299,0.646341463,0.16,0.08,0.08,0.412675439,0.003916808,0.230769231,1.875,14,16,0.131868132,0.032967033,28,4,29,4
584,accounting,PwC_LLP,81,12,0,0.31,0.31,0,31,0,0,0.006833115,0,0.06,0.06,0,0,0.005360828,0,3,18,0,0.043956044,0.010989011,17,1,31,19
584,accounting,OmahaCPA,22,6,0,0.8,0.34,0.46,34,46,0.649350649,0.008452125,0.568627451,0.34,0.13,0.21,0.500478723,0.004749854,0.47826087,5.147058824,52,123,0,0.010989011,0,1,0,1
584,accounting,CSCPA,28,55,0,0.97,0.5,0.47,50,47,0.653594771,0.01067149,0.732142857,0.39,0.17,0.22,0.495210526,0.004996163,0.3,3.615384615,56,85,0.131868132,0.076923077,30,12,30,13
584,accounting,JasonMBlumer,9,33,0,1.29,0.61,0.68,61,68,0.757575758,0.012526453,0.675324675,0.67,0.37,0.3,0.556745562,0.046692201,0.595238095,13.20895522,584,301,0.142857143,0.153846154,29,33,29,43
584,accounting,taxes007,77,41,0,1.14,0.51,0.63,51,63,0.729927007,0.010071166,0.753846154,0.32,0.05,0.27,0.540747126,0.001937805,0.142857143,2.5,9,71,0.076923077,0,10,0,12,0
584,accounting,BillSheridan,13,118,0,1.45,0.68,0.77,68,77,0.81300813,0.015640941,0.790123457,0.67,0.4,0.27,0.534602273,0.041781313,0.595238095,9.865671642,284,377,0.186813187,0.307692308,153,169,154,196
584,accounting,byron_cpa,65,5,0,0.43,0.29,0.14,29,14,0.534759358,0.006300529,0.34375,0.24,0.12,0.12,0.463497537,0.008314097,0.333333333,4.958333333,51,68,0.032967033,0.032967033,8,4,8,4
584,accounting,sherylschuff,56,15,0,0.54,0.24,0.3,24,30,0.588235294,0.005541945,0.5,0.27,0.09,0.18,0.500478723,0.007189337,0.421052632,6.37037037,64,108,0.021978022,0.032967033,2,10,4,12
584,accounting,CPALetter_Daily,3,98,0,1.63,0.8,0.83,80,83,0.854700855,0.019290813,0.963855422,0.44,0.26,0.18,0.490052083,0.016997367,0.375,10.02272727,225,216,0.120879121,0.076923077,100,75,101,86
584,accounting,incpas,78,32,0,0.95,0.55,0.4,55,40,0.625,0.011815128,0.610169492,0.15,0.06,0.09,0.409086957,0.002170221,0.071428571,1.4,11,10,0.054945055,0,21,0,21,0
584,accounting,IFRScom,73,140,0,0.51,0.35,0.16,35,16,0.543478261,0.007871835,0.416666667,0.11,0.1,0.01,0.33967509,0.005019183,0.1,9.272727273,55,47,0.10989011,0,141,0,141,0
584,accounting,cpasitesolution,53,57,0,1.62,0.64,0.98,64,98,0.980392157,0.011950225,0.653061224,0.16,0.06,0.1,0.45897561,0.002121197,0.230769231,1.5,8,16,0.010989011,0.065934066,4,8,5,8
584,accounting,NATPTAX,67,17,0,0.54,0.53,0.01,53,1,0.469483568,0.009976747,0.018867925,0.08,0.04,0.04,0.409086957,0.002955887,0.142857143,2.25,9,9,0.131868132,0.021978022,21,2,22,2
584,accounting,RobertRHarris,101,72,0,0.8,0.48,0.32,48,32,0.595238095,0.010070983,0.428571429,0.11,0.11,0,0,0.006160572,0,3.454545455,38,0,0.010989011,0.351648352,1,462,1,1041
584,accounting,smtcpa,87,5,0,0.86,0.42,0.44,42,44,0.641025641,0.008199227,0.72,0.24,0.12,0.12,0.468109453,0.004579007,0.411764706,7.166666667,36,136,0.087912088,0.032967033,10,3,10,3
