TimberdoodleCo,homeschool_school,63,33650796
nikeplus,running,57,590354313
freeappalert,mac_iphone,129,53185259
wearefarmers,insurance,33,36568063
CNFJ,army_military_veteran,67,41546290
har2009,hacking,91,15505356
sideshowbarker,html,98,6251532
TinaCook,marketing,101,14382508
KIYO147,piano,26,63735605
funnyorfact,jokes,64,139951730
diybio,biology,93,16674269
RETomato,realestate,40,7119502
repubblicait,newspaper,97,18935802
kagillogly,anthropology,52,17417177
oxfordfilmfest,filmfestival,71,14469444
ESPN_Ski,skiing,9,34952813
mattkemp27,baseball,89,26973444
firstround,investor,13,15307727
2shortplanks,perl,99,1478591
unluckyninja,anime,20,14391827
JuliaMancuso,skiing,13,70902633
HomeEdMag,homeschool_school,65,25975209
TopCow,comics,79,16119771
filosoof,philosophy,96,14432588
astronomy2009,astronomy_physics,16,8255122
DesignMuseum,architecture,57,22009731
DavWalters,swimming,71,93753739
olegsmith,poker,29,27717108
flyosity,developer,41,10545
ABC,politics_news,34,28785486
1854,photography,88,16928541
Leadershipfreak,management,26,105305259
marriagelifemin,marriage,76,234012647
Supermac18,youtube,68,14297388
KurtThompsonCPA,accounting,46,142336959
oracleopenworld,database,50,15347534
BayerHealthCare,pharma,24,44314871
FirstTracksMag,skiing,78,52405793
cpanet,accounting,6,18906915
way0utwest,database,74,14607509
APAPsychiatric,psychology_mentalhealth,54,49634218
nydailynews,newspaper,62,9763482
FairTradeUSA,humanrights_activism_justice,94,31469906
sprinkles,baking,41,25340176
LIOStech,engineering,99,47417197
USA_Swimming,swimming,3,76682652
SnowlistUT,skiing,102,42914190
EAMobile,developer,77,17195943
ArchaeologyDN,archaeology,2,19681326
Anthropology_MN,anthropology,96,17562438
breakingweather,weather,5,19071682
kevin_nealon,comedy_funny,28,23680913
AAAauto,automotive,69,21668293
masason,mac_iphone,65,99008565
SmartDataCo,database,46,17449590
SpelmanCollege,college,83,28140707
SportsBetNation,gambling,53,48886570
TialeyVintage,etsy_handmade,66,19685693
RobACareerPsych,psychology_mentalhealth,116,17214926
bridalguidemag,wedding,32,17819531
BNBookClubs,writing,69,20067944
paulocoelho,author,10,5520952
InfinityWard,gaming,14,18742444
sethmeyers21,comedy_funny,24,44039298
drance,ipad,103,7440462
offsectraining,hacking,27,134994790
SeasonalWisdom,gardening,45,29269401
cmi_managers,management,10,20758436
flykingfisher,airlines_aviation,35,18134734
DebianToday,linux_opensource,43,21037316
Outdooress,fishing,52,84119156
SocMedAnthro,anthropology,17,49695355
sdv_duras,philosophy,17,16922486
sonnyrollins,jazz,52,62936536
alphatrends,trading,2,15246621
Legacy_Trades,trading,65,100592354
FoodNetwork,food_chef,2,20710809
WrightArchitect,architecture,69,54135969
nytimescollege,college,60,73223196
CookingForum,recipes_cooking,95,42326067
harpoon_brewery,beer,8,17139668
wedding_network,wedding,86,19193191
AntonyJamesFly,swimming,101,205643354
linuxquestions,linux_opensource,80,779627
