Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,yoga,sadienardini,1,0.0025805677249,0.001260277261,0.0013202904639,21.0,22.0,13,11,0.075,0.00120026405809,0.000300066014523,0.00090019804357,5.0,16.0,5,12,0.0526315789474,1.34,6.00132029046e-05,0.000180039608714,1.0,4.0
584,yoga,YogaDirect,1,0.0144031686971,0.0038408449859,0.0105623237112,64.0,176.0,28,64,0.212121212121,0.000960211246474,6.00132029046e-05,0.00090019804357,1.0,16.0,1,13,0.0666666666667,0.333333333333,0.000120026405809,0.000180039608714,2.0,5.0
584,yoga,IntegralYoga,1,0.00120026405809,0.00114025085519,6.00132029046e-05,19.0,1.0,13,1,0.0,6.00132029046e-05,6.00132029046e-05,0.0,1.0,0,1,0,0.0,0.22,0.000120026405809,0.0,5.0,0
584,yoga,CoreConnecting,1,0.0427294004681,0.017643881654,0.0250855188141,294.0,418.0,72,93,0.636781609195,0.0025805677249,6.00132029046e-05,0.00252055452199,3.0,138.0,1,27,0.0,0.84,0.000360079217428,6.00132029046e-05,16.0,2.0
584,yoga,SwSatchidananda,2,0.00162035647843,0.00162035647843,0.0,27.0,0,14,0,0.0,0.000180039608714,0.000180039608714,0.0,7.0,0,3,0,0.0,1.19,0.000720158434856,0.0,34.0,0
584,yoga,lotuspad,1,0.0355878293225,0.00990217847927,0.0256856508432,165.0,428.0,59,100,0.332584269663,0.00690151833403,0.00078017163776,0.00612134669627,72.0,402.0,9,49,0.0454545454545,9.12,0.000300066014523,0.000360079217428,7.0,6.0
584,yoga,YogaTag,1,0.00402088459461,0.00234051491328,0.00168036968133,39.0,28.0,20,17,0.45652173913,0.00078017163776,0.000180039608714,0.000600132029046,8.0,12.0,2,10,0.0833333333333,0.98,0.0,0.0,0,0
584,yoga,JudithYoga,1,0.000840184840665,0.000660145231951,0.000180039608714,11.0,3.0,4,3,0.0,6.00132029046e-05,6.00132029046e-05,0.0,2.0,0,1,0,0.0,0.56,0.000120026405809,0.0,2.0,0
584,yoga,YI_Mag,1,0.00564124107304,0.00198043569585,0.00366080537718,33.0,61.0,17,24,0.342857142857,0.00216047530457,0.000420092420332,0.00174038288423,25.0,37.0,6,17,0.161290322581,7.55,0.000180039608714,0.0,7.0,0
584,yoga,innerspaceyoga,1,0.00870191442117,0.00234051491328,0.00636139950789,39.0,106.0,24,46,0.198347107438,0.000960211246474,0.000420092420332,0.000540118826142,16.0,53.0,4,8,0.0666666666667,2.92,0.0,0.00138030366681,0,26.0
